# Illinois Crime Victim Assistance Services Directory (PDF line # = id). Tab-separated.
# id	organization	programType	address	phone	website
1	Adams County State's Attorney's Office	Prosecution	521 Vermont St, Quincy, IL 62301	217-277-2225	https://www.adamscountyil.gov/government/departments/state-s-attorney
2	Advocacy Network for Children	Children's Advocacy Center	1420 Harrison St, Quincy, IL 62301	217-223-2272	https://advonet.org
3	Advocacy Network for Children	Court Appointed Special Advocates	1420 Harrison St, Quincy, IL 62301	217-223-2272	https://advonet.org
4	Advocate Condell Medical Center	Community Violence	801 S Milwaukee Ave, Libertyville, IL 60048	847-362-2900	https://www.advocatehealth.com/condell
5	Advocate Christ Medical Center	Community Violence	4440 W 95th St, Oak Lawn, IL 60453	708-684-8000	https://www.advocatehealth.com/cmc
6	All Our Children's Advocacy Center	Children's Advocacy Center	8651 S 79th Ave, Justice, IL 60458	Not publicly listed	https://www.aocac.org
7	Alliance Against Intoxicated Motorists	DUI	870 E Higgins Rd, Suite 131, Schaumburg, IL 60173	847-240-0027	https://www.aaim1.org
8	Alternatives (for the Older Adult, Inc.)	Elder Abuse	3800 Avenue of the Cities, Suite 101, Moline, IL 61265	309-277-0167	https://alternativesforyou.org
9	Amy Schulz Child Advocacy Center, Inc.	Children's Advocacy Center	500 Fairfield Rd, Mt. Vernon, IL 62864	618-244-2100	https://www.amycenter.org
10	Anew: Building Beyond Violence & Abuse	Domestic Violence	18137 Harwood Ave, Homewood, IL 60430	708-794-2140	https://anewdv.org
11	Ann & Robert H. Lurie Children's Hospital of Chicago	Violence Prevention	225 E Chicago Ave, Chicago, IL 60611	312-227-4000	https://www.luriechildrens.org
12	Apna Ghar, Inc.	Domestic Violence	4350 N Broadway St, Chicago, IL 60613	773-334-4663	https://www.apnaghar.org
13	April House	Children's Advocacy Center	501 19th Ave, Rock Falls, IL 61071	815-626-7333	https://www.aprilhouse.org
14	Arab American Family Services	Domestic Violence	6530 W 79th St, Burbank, IL 60459	708-599-2237	https://aafsil.org
15	Arab American Family Services	Domestic Violence and Sexual Assault	6530 W 79th St, Burbank, IL 60459	708-599-2237	https://aafsil.org
